	Metabolite	r_Pearson	p_Pearson	r_Spearman	p_Spearman	p_Pearson_adj	p_Spearman_adj
353	Ethyl palmitoleate	0.5027830102491073	0.001776861308751888	0.6140981249802431	6.785167406420349e-05	0.02508108078122857	0.00023272490076226804
24	Uracil	0.2671857863040115	0.11518012630360107	0.6134016006727504	6.952164332162113e-05	0.2956021423316195	0.00023624484350958288
287	4-(2,2,4-Trimethylcyclohex-3-enyl)but-3-en-2-one	0.2767431041229974	0.10226961714798068	0.6127589539901143	7.10952458053156e-05	0.27575312131003665	0.0002393757358766131
285	Tridecadienoic acid	0.2737556273728991	0.10618107681310497	0.6124936329448707	7.175423980413685e-05	0.2783461085029252	0.0002393982364374384
214	LPG(18:2(9Z,12Z)/0:0)	0.09596913042926368	0.5776770167125607	0.6119309342369613	7.31701246082182e-05	0.6951064430606878	0.00024192284442537006
322	N-oleoyl isoleucine (Isoleucine)	0.26729570089976773	0.11502500584868286	0.6100428974857861	7.810700033837823e-05	0.2956021423316195	0.0002559399028945072
241	Linoleoyl sarcosine	0.22984023224772707	0.17749532955718392	0.6080697503270293	8.358564272523086e-05	0.3497625453549038	0.0002707055101612212
265	(4E,8E)-5,9,13-trimethyltetradeca-4,8,12-trien-2-one	0.22452670470738517	0.1880065919175494	0.607894586676489	8.408836010457551e-05	0.3497625453549038	0.0002707055101612212
299	N-(4-hydroxyphenethyl)oleamide	0.6174548063319469	6.030035818038606e-05	0.6047573987596926	9.356604289748956e-05	0.0027662789315252108	0.0002985977195076406
61	Leucyl-Isoleucine 	0.1528862039234661	0.3733622923443204	0.6043962937787541	9.471653574065287e-05	0.5112834376506178	0.0002996635225587897
267	Elmiric acid	0.25338868895309574	0.13592621562074697	0.6036281378883047	9.720640243205843e-05	0.3205682956389309	0.0003049123905347474
313	N-palmitoyl leucine	0.26560660373447764	0.11742617797371015	0.5992993874462663	0.00011237271926630118	0.2992736619191085	0.0003465612434515339
185	7-oxooctadecanoate	0.3800915172096176	0.022216859640096617	0.5994569265059615	0.00011178543576208612	0.12543980750639167	0.0003465612434515339
199	LysoPE(18:1(9Z)/0:0)	0.6054961321673549	9.125155421168518e-05	0.5969723517981195	0.00012137709207615356	0.00372103559952094	0.00036814374208221786
273	N-(nonylideneamino)nonanamide	0.39060236415059335	0.018506126705907646	0.5970050433352302	0.0001212462259968163	0.1151143813740357	0.00036814374208221786
320	Gama-Tocotrienol	0.3956488375478101	0.016917659413332276	0.5957223038661117	0.00012647742696645167	0.11087108936951688	0.0003804689811203915
103	Pratensein	0.35260566511124186	0.034923367832806945	0.5877768717776359	0.00016365480541877137	0.16864310519263354	0.0004883033625096674
34	Coumarate	0.1307736725988404	0.4471205495303564	0.5846567567005094	0.00018075298070223611	0.5881478196331211	0.0005349705154654891
